EstabelecimentoID,TipoEstabelecimentoID,CidadeID,NomeEstabelecimento,Endereco,CEP,Latitude,Longitude,Telefone,HorarioFuncionamento,DataAbertura,DataCriacao,Ativo
251,10,332,Silva,"Pátio Ravi Barros, 5
Solar Do Barreiro
41273-988 Gomes do Galho / SC",60142-796,-23.47203395756851,-46.51712192389483,0300 414 2699,08:00-22:00,2019-04-01,2025-07-29 19:50:56.311614,1
252,1,36,Fonseca,"Vale Elisa Marques, 279
Jardinópolis
50808-685 Rocha da Praia / MG",62948-366,-23.55242646366747,-46.71194033646737,(071) 1289-8009,08:00-22:00,2015-12-11,2025-07-29 19:50:56.311614,1
253,4,406,Sá Silva - EI,"Sítio da Rocha, 79
Tiradentes
83366-487 da Paz de Minas / RS",03035-559,-23.535853034036677,-46.59758848704505,+55 (051) 1984 5509,08:00-22:00,2021-02-12,2025-07-29 19:50:56.311614,1
254,1,373,Fogaça,"Via da Paz, 78
Estoril
90492-934 Oliveira / MA",02078-987,-23.688873576521633,-46.70845488669638,(031) 5420-4701,08:00-22:00,2016-05-22,2025-07-29 19:50:56.311614,1
255,1,164,Aparecida Fonseca - ME,"Sítio Fogaça, 701
Horto Florestal
96267890 Pinto Paulista / TO",56776-547,-23.513280482311995,-46.70562827234431,81 6367 7366,08:00-22:00,2017-12-17,2025-07-29 19:50:56.311614,1
256,5,45,Melo,"Área Ferreira, 44
Venda Nova
43617645 Lima / AL",10520374,-23.63920325639766,-46.54658724998542,+55 11 7064-5893,08:00-22:00,2023-06-17,2025-07-29 19:50:56.311614,1
257,7,144,das Neves,"Via de Santos, 781
Marieta 3ª Seção
03239558 Dias de Montenegro / TO",68846245,-23.584981606690537,-46.56389341396325,81 7054 9395,08:00-22:00,2019-03-30,2025-07-29 19:50:56.311614,1
258,3,11,Moreira Rocha Ltda.,"Quadra de Gomes, 43
Santa Monica
65972-807 Alves / PA",05740694,-23.576185289971246,-46.711767770802794,0900-282-7146,08:00-22:00,2021-11-11,2025-07-29 19:50:56.311614,1
259,7,323,Siqueira,"Via da Mota, 364
Santo André
12769-744 Pacheco Alegre / PA",01561465,-23.56538022075357,-46.77558314530002,+55 (041) 0013 7911,08:00-22:00,2018-11-09,2025-07-29 19:50:56.311614,1
260,5,354,Pimenta S/A,"Quadra da Paz, 61
Xangri-Lá
66191-791 Guerra Alegre / MT",20692179,-23.63176908326557,-46.69272475812264,11 0712 9979,08:00-22:00,2021-02-25,2025-07-29 19:50:56.311614,1
261,10,409,Silveira,"Viela de Silva, 73
Santa Cecilia
35722496 Vieira do Sul / BA",75856001,-23.444966932585306,-46.571982739354404,+55 (021) 9988 4771,08:00-22:00,2016-06-09,2025-07-29 19:50:56.311614,1
262,8,346,Pereira Siqueira - ME,"Passarela de Barros, 92
São Jorge 2ª Seção
61000923 Lima / PR",71109341,-23.571644954788614,-46.76983669164449,+55 (011) 0735-5850,08:00-22:00,2024-04-13,2025-07-29 19:50:56.311614,1
263,7,451,Pimenta Moura S.A.,"Núcleo de da Rosa, 74
Conjunto Jardim Filadélfia
08029-518 Fernandes / PE",59452147,-23.516359662627522,-46.598369740583024,(021) 2746-4974,08:00-22:00,2025-02-05,2025-07-29 19:50:56.311614,1
264,1,212,Sales,"Lago Pietro Araújo, 88
Vila Petropolis
73144-015 Lima / MA",91543918,-23.515818736291866,-46.53307102202583,+55 71 1077-6653,08:00-22:00,2021-07-25,2025-07-29 19:50:56.311614,1
265,1,415,Souza,"Largo Maria Sophia Macedo, 105
Aarão Reis
85329508 Fernandes de Teixeira / ES",63020151,-23.51790459767359,-46.746231853318484,21 5101 8979,08:00-22:00,2015-11-11,2025-07-29 19:50:56.311614,1
266,7,113,Campos S/A,"Lagoa da Rocha, 6
Tupi B
86992697 Novais de Pimenta / SE",33311-044,-23.53220459731512,-46.541338702714135,31 0352 4984,08:00-22:00,2019-10-26,2025-07-29 19:50:56.311614,1
267,6,449,Aparecida - ME,"Lagoa Eduardo Vasconcelos, 5
Europa
10226-914 Macedo / AL",74209-066,-23.453212275520563,-46.78459083526293,0900 443 0297,08:00-22:00,2018-07-13,2025-07-29 19:50:56.311614,1
268,9,346,Moura,"Trecho da Mota, 51
Horto
24662-851 da Cruz / PI",57984012,-23.456214655875844,-46.59993592257283,(051) 5399 4649,08:00-22:00,2023-10-24,2025-07-29 19:50:56.311614,1
269,8,345,Rios Ltda.,"Condomínio de Duarte, 44
Funcionários
11204-607 Ribeiro do Amparo / RJ",01330140,-23.57485662821854,-46.56268832388724,(021) 5727 7603,08:00-22:00,2023-09-14,2025-07-29 19:50:56.311614,1
270,6,11,Camargo,"Conjunto Sarah Azevedo, 45
Vila Dos Anjos
10618242 Ramos do Oeste / AC",63148-576,-23.509246185560812,-46.6665701647022,0300-793-1047,08:00-22:00,2021-07-26,2025-07-29 19:50:56.311614,1
271,6,336,Ramos,"Morro Guerra
Vila Copasa
13612773 Sousa de Machado / TO",27832967,-23.669151226641993,-46.73888139155594,11 9863 6882,08:00-22:00,2016-11-14,2025-07-29 19:50:56.311614,1
272,9,340,da Mata,"Distrito Lucas Gabriel Correia, 98
Antonio Ribeiro De Abreu 1ª Seção
15578-949 Lima / MG",48916-879,-23.672768196519495,-46.522581150328946,+55 (051) 5351-5165,08:00-22:00,2020-06-21,2025-07-29 19:50:56.311614,1
273,4,362,Câmara,"Viela Cauã Andrade, 4
Vila Nova Gameleira 2ª Seção
94531257 Gonçalves de Mendes / AL",56607-366,-23.55602507834362,-46.79400933941905,0900-735-7627,08:00-22:00,2017-01-17,2025-07-29 19:50:56.311614,1
274,9,372,Costa,"Vereda Maria Luiza Garcia, 94
Maria Helena
76594-513 Moraes Verde / PR",82056-189,-23.429938792918193,-46.63347863123114,+55 81 4442-1934,08:00-22:00,2022-08-06,2025-07-29 19:50:56.311614,1
275,8,166,Vasconcelos,"Trevo Isabela Lopes, 56
Baleia
20665753 Azevedo de Nogueira / RJ",93282634,-23.50500008924289,-46.68814517738849,(021) 8545-9601,08:00-22:00,2016-12-24,2025-07-29 19:50:56.311614,1
276,3,258,da Conceição Almeida - EI,"Viaduto de Rios, 4
Caiçaras
00263993 Cassiano / MS",92815-324,-23.49923507320572,-46.661682841355685,+55 (051) 8722-8553,08:00-22:00,2021-09-29,2025-07-29 19:50:56.311614,1
277,4,54,da Mata,"Trecho Viana, 583
São João
24483808 Siqueira de Casa Grande / DF",48158-899,-23.65269800637615,-46.63903048311633,+55 71 6157-8854,08:00-22:00,2015-09-05,2025-07-29 19:50:56.311614,1
278,7,93,Mendonça,"Estação de Rios, 20
Grotinha
19184-773 Vargas / RR",59627376,-23.564008666719346,-46.639575413320046,+55 21 6742-5125,08:00-22:00,2021-06-03,2025-07-29 19:50:56.311614,1
279,3,263,Caldeira - ME,"Quadra Rios, 638
Vila Jardim Alvorada
94585-576 Sampaio / MG",33535-293,-23.57976271650465,-46.73891290087307,+55 11 4462 7015,08:00-22:00,2020-08-24,2025-07-29 19:50:56.311614,1
280,3,433,Fernandes e Filhos,"Residencial Sá, 5
Marilandia
50157-703 Borges do Galho / MT",39187-017,-23.465106495973743,-46.596089303129986,51 7268 9824,08:00-22:00,2022-12-19,2025-07-29 19:50:56.311614,1
281,8,296,Guerra,"Loteamento Cauê Rodrigues, 765
Santa Maria
62479-274 Azevedo da Praia / SE",72080871,-23.65865277096832,-46.79425551264235,0300 044 8090,08:00-22:00,2017-05-24,2025-07-29 19:50:56.311614,1
282,5,45,da Paz S/A,"Feira Albuquerque, 2
Marilandia
85447702 Alves do Campo / RS",97366-538,-23.538242697800758,-46.79364477173614,+55 21 5641-3962,08:00-22:00,2025-06-09,2025-07-29 19:50:56.311614,1
283,5,438,Rodrigues,"Rua Correia, 19
Mirtes
64619302 Oliveira da Praia / PR",86948-522,-23.426594549235343,-46.65645379761651,+55 (071) 8599 4089,08:00-22:00,2022-07-07,2025-07-29 19:50:56.311614,1
284,8,217,Sales,"Viela Ana Júlia Aparecida
Vila Nova Dos Milionarios
84819773 Costela de Camargo / RO",27053-341,-23.43226203310428,-46.637429135918914,+55 (071) 3491-5669,08:00-22:00,2021-05-19,2025-07-29 19:50:56.311614,1
285,6,189,Farias,"Condomínio Cardoso, 6
Jardim Vitoria
28788479 Viana da Praia / MS",84275669,-23.444298867075684,-46.71753315548992,(071) 2642-4805,08:00-22:00,2019-03-17,2025-07-29 19:50:56.311614,1
286,5,388,da Rosa Mendes Ltda.,"Viaduto de Castro, 58
Nova America
76636518 Martins do Amparo / PR",10905-235,-23.587504406119084,-46.634497339911945,71 1959-2144,08:00-22:00,2022-11-25,2025-07-29 19:50:56.311614,1
287,1,107,Rodrigues,"Largo de Martins, 21
Custodinha
24966211 Araújo da Mata / PA",81589498,-23.41766979280348,-46.64516723010432,51 4298 8363,08:00-22:00,2019-01-29,2025-07-29 19:50:56.311614,1
288,5,290,Sousa Castro - ME,"Conjunto da Mota, 823
Novo Das Industrias
84739895 Ramos da Prata / DF",17212457,-23.458409847402187,-46.6952338335682,+55 (071) 6888 5033,08:00-22:00,2021-04-06,2025-07-29 19:50:56.311614,1
289,8,473,Jesus S/A,"Vila Aparecida, 4
Vila Nova Paraíso
30885123 Ramos / AL",74893884,-23.44465760422773,-46.60446760903646,31 7901-9431,08:00-22:00,2020-09-13,2025-07-29 19:50:56.311614,1
290,9,8,Campos,"Jardim Calebe Sampaio, 2
Vila Novo São Lucas
67015216 Silva / SE",92361-309,-23.420293861702504,-46.51261883503597,+55 (061) 4821-5024,08:00-22:00,2016-12-18,2025-07-29 19:50:56.311614,1
291,6,32,Moraes,"Rua de Carvalho, 42
Xangri-Lá
08426-155 Pastor / RS",96351469,-23.418899620315774,-46.65275919167246,(031) 0774 9273,08:00-22:00,2025-02-01,2025-07-29 19:50:56.311614,1
292,10,402,Fernandes Cavalcante - ME,"Ladeira de da Mata, 161
Vila Rica
03803268 Rezende de Ferreira / MA",75922951,-23.627980511022002,-46.56418477221751,+55 51 2391 2540,08:00-22:00,2018-08-21,2025-07-29 19:50:56.311614,1
293,3,168,Ramos,"Vila Lima, 46
Lagoa
46920495 Cassiano / RS",51158-971,-23.661693686466847,-46.7257210309281,+55 (011) 1186-0675,08:00-22:00,2022-11-30,2025-07-29 19:50:56.311614,1
294,8,331,Almeida Rezende S/A,"Conjunto Allana Lopes, 240
Vila Cemig
87219-840 Sousa dos Dourados / SE",11099000,-23.492737516928603,-46.571414821947755,+55 41 7776 8329,08:00-22:00,2024-06-06,2025-07-29 19:50:56.311614,1
295,5,440,Azevedo,"Setor Ana Julia Guerra, 60
Jardim Dos Comerciarios
59428-074 Alves da Serra / DF",12880777,-23.531035813008856,-46.6053282136494,+55 (021) 6342-3219,08:00-22:00,2018-06-04,2025-07-29 19:50:56.311614,1
296,2,37,Farias,"Trevo Carvalho, 26
Vila Nova Paraíso
98577-151 Rezende Paulista / AP",25194575,-23.60177204831042,-46.60809066602151,(051) 4025 6856,08:00-22:00,2020-04-06,2025-07-29 19:50:56.311614,1
297,1,231,Lima,"Distrito de Nascimento, 7
Vila Santa Rosa
19446912 Rezende / MT",95962-060,-23.494665147966895,-46.53208939786733,21 2510 1861,08:00-22:00,2023-10-08,2025-07-29 19:50:56.311614,1
298,8,183,Andrade,"Esplanada da Conceição, 5
Ouro Preto
70725-207 Novaes / CE",87254-086,-23.681400936805222,-46.72999492351432,+55 51 8423 0297,08:00-22:00,2017-09-21,2025-07-29 19:50:56.311614,1
299,2,292,Câmara S.A.,"Rua Silveira, 995
Madri
79637-169 Peixoto da Serra / MT",05703-569,-23.685837505051236,-46.68946496487271,+55 (021) 1614-1732,08:00-22:00,2019-12-18,2025-07-29 19:50:56.311614,1
300,3,246,Sampaio,"Viela de Campos, 9
Cardoso
70318878 Silva de Minas / TO",21438-722,-23.59370682473947,-46.7750797628967,+55 (071) 8613-1594,08:00-22:00,2016-04-03,2025-07-29 19:50:56.311614,1
301,9,10,da Cunha Leão - EI,"Trevo Luiz Gustavo Novaes, 83
Vila Rica
07069-051 Leão / SE",22619991,-23.64184601297035,-46.582164006969236,31 3883-4200,08:00-22:00,2018-03-20,2025-07-29 19:50:56.311614,1
302,1,70,Campos Almeida Ltda.,"Trevo Cauã Melo
Vila Jardim São José
35756-919 da Mota / RS",64269655,-23.484433184778727,-46.54683981441011,+55 11 7824-4326,08:00-22:00,2021-01-05,2025-07-29 19:50:56.311614,1
303,8,237,Barros S/A,"Campo de Vargas, 168
Alto Vera Cruz
24037900 Ferreira da Praia / PA",63137761,-23.41559344862754,-46.678249948910455,(011) 0058-7639,08:00-22:00,2021-04-16,2025-07-29 19:50:56.311614,1
304,2,464,Borges - EI,"Via da Costa, 92
Liberdade
35098-550 Viana / PE",95359-185,-23.50151177589461,-46.692951954459524,31 6748 1814,08:00-22:00,2022-02-03,2025-07-29 19:50:56.311614,1
305,8,118,Garcia - ME,"Condomínio José Miguel Jesus
Itaipu
81652443 Carvalho de Ramos / ES",08273943,-23.50356468986173,-46.60240444324304,+55 71 6862-9007,08:00-22:00,2024-02-03,2025-07-29 19:50:56.311614,1
306,2,217,Sampaio S.A.,"Área Alves, 88
São Marcos
04410239 Ramos do Sul / MG",77925338,-23.698021327974125,-46.777322861763196,+55 21 4839-5094,08:00-22:00,2016-02-18,2025-07-29 19:50:56.311614,1
307,7,191,da Costa,"Campo de Ribeiro
Alpes
49676-976 Souza / PR",56405818,-23.54631690848261,-46.71184743115911,+55 (021) 0141 0902,08:00-22:00,2021-06-13,2025-07-29 19:50:56.311614,1
308,3,418,Ribeiro Fernandes S.A.,"Feira de Sales, 65
Vila Santo Antônio Barroquinha
25822-567 Rocha das Flores / PR",83028075,-23.45486960394745,-46.690136160439444,84 3030-4042,08:00-22:00,2017-02-01,2025-07-29 19:50:56.311614,1
309,4,351,Garcia,"Setor de Carvalho, 23
Sagrada Família
46443-437 Almeida da Mata / RJ",21207782,-23.503763890398595,-46.64442291479077,0800 219 2290,08:00-22:00,2020-10-02,2025-07-29 19:50:56.311614,1
310,1,239,Farias Freitas S/A,"Rua Porto, 22
Mineirão
60354-390 da Rosa das Flores / GO",41835-256,-23.631665284605347,-46.657029234159296,71 0183 5504,08:00-22:00,2021-06-13,2025-07-29 19:50:56.311614,1
311,10,328,da Paz S.A.,"Rodovia Erick Porto, 613
Vila Satélite
91470-976 Cunha de Goiás / GO",04729248,-23.44545742547184,-46.73739587316761,+55 (061) 2193-3499,08:00-22:00,2018-08-26,2025-07-29 19:50:56.311614,1
312,1,401,Camargo,"Travessa Vargas, 60
Vila Nossa Senhora Do Rosário
34971189 Mendes / ES",17321664,-23.410686982735445,-46.637763637841,+55 71 5051 1319,08:00-22:00,2017-07-22,2025-07-29 19:50:56.311614,1
313,10,379,Sampaio da Mata Ltda.,"Morro de Macedo
Vila Mantiqueira
45638-270 Santos / CE",19760154,-23.616302145749916,-46.52223939273397,+55 41 0482-3950,08:00-22:00,2023-01-01,2025-07-29 19:50:56.311614,1
314,8,317,Fonseca S/A,"Passarela Dias, 27
São João
55909771 Lopes / MA",41292515,-23.637871697350256,-46.79187363291086,(084) 6049-5678,08:00-22:00,2015-11-11,2025-07-29 19:50:56.311614,1
315,8,206,Montenegro da Cruz S.A.,"Alameda Aurora Macedo, 38
Vila Da Amizade
22549566 Vasconcelos / AL",54165915,-23.598441928604196,-46.5959080282786,+55 61 8157 1569,08:00-22:00,2020-04-10,2025-07-29 19:50:56.311614,1
316,2,222,Cavalcante da Rocha S.A.,"Ladeira João Lucas Fogaça, 8
Carmo
00000-183 Barbosa / RN",50907275,-23.681052514836697,-46.612587291821306,21 4312-5345,08:00-22:00,2018-02-21,2025-07-29 19:50:56.311614,1
317,4,146,Porto,"Vale Igor Sousa, 1
Ápia
18121-232 Andrade / RN",21586-677,-23.437970198073938,-46.5226719135865,(084) 1466 6191,08:00-22:00,2024-11-05,2025-07-29 19:50:56.311614,1
318,2,189,Camargo,"Setor de da Rocha, 69
Aparecida
54481-567 da Rosa de Minas / PI",92434-777,-23.421210155840253,-46.606396517877876,+55 11 9814-6701,08:00-22:00,2022-09-10,2025-07-29 19:50:56.311614,1
319,8,238,Vasconcelos S.A.,"Morro Nicolas Casa Grande, 17
Sport Club
63693-058 da Luz / RN",39861518,-23.51000908811006,-46.61254718625569,+55 (061) 0443-1878,08:00-22:00,2018-07-13,2025-07-29 19:50:56.311614,1
320,7,292,Novaes,"Distrito de Aragão, 68
Solar Do Barreiro
17257-866 Cassiano do Sul / PE",13262-250,-23.470699556143966,-46.56905830197053,+55 41 5842 1613,08:00-22:00,2021-02-03,2025-07-29 19:50:56.311614,1
321,7,469,Rezende,"Avenida Henry da Rosa, 94
Maria Helena
82040-028 Cunha / RN",86980-553,-23.49940479676945,-46.7196582153541,(011) 4987 5804,08:00-22:00,2018-11-30,2025-07-29 19:50:56.311614,1
322,10,437,Ramos Montenegro Ltda.,"Pátio Maria Laura das Neves, 4
Parque São José
21747-177 Jesus / PR",00219-272,-23.58679373121304,-46.621280321270326,+55 (031) 0084 1122,08:00-22:00,2018-05-06,2025-07-29 19:50:56.311614,1
323,3,223,Cunha,"Vereda de Vargas, 51
Buritis
90772-386 Nogueira da Serra / MG",29371-538,-23.51038729138372,-46.644173667191446,0300 660 1742,08:00-22:00,2021-05-18,2025-07-29 19:50:56.311614,1
324,5,246,Silveira Brito - EI,"Morro de Siqueira, 2
Jardim Do Vale
41732-508 Silveira / CE",55481435,-23.449103948737466,-46.6684582480035,+55 (051) 0166-0889,08:00-22:00,2019-03-06,2025-07-29 19:50:56.311614,1
325,1,247,Vasconcelos Ltda.,"Quadra Vinícius Teixeira, 23
Vila Ecológica
12217047 Vieira de Aparecida / PI",56875-094,-23.45702777692927,-46.77615384978916,0800 252 9211,08:00-22:00,2017-06-14,2025-07-29 19:50:56.311614,1
326,10,417,da Costa,"Área de Pires, 788
Cardoso
87702-138 Azevedo Verde / BA",59632-683,-23.675682742074997,-46.71221134259615,0800-179-2308,08:00-22:00,2016-11-08,2025-07-29 19:50:56.311614,1
327,4,407,Mendes,"Rodovia Mendonça, 69
Conjunto Bonsucesso
48530986 Aragão / RJ",41533-049,-23.561219711837065,-46.716005485802945,(011) 5104 1807,08:00-22:00,2021-03-20,2025-07-29 19:50:56.311614,1
328,4,448,Santos,"Praça Pacheco, 82
Xangri-Lá
35270-894 Moraes / RJ",31624315,-23.580803560812825,-46.5827247128508,0900 024 3378,08:00-22:00,2022-09-03,2025-07-29 19:50:56.311614,1
329,1,38,Pires,"Feira de Guerra, 91
Cônego Pinheiro 2ª Seção
46583167 Gomes do Amparo / GO",28009-046,-23.47439737626604,-46.523803159436866,(041) 6474-5664,08:00-22:00,2024-01-24,2025-07-29 19:50:56.311614,1
330,7,453,da Costa Sales S.A.,"Favela de Borges, 30
Acaba Mundo
37523-387 Azevedo / SP",90877030,-23.549587218136264,-46.73076383313694,0300-964-6687,08:00-22:00,2017-01-25,2025-07-29 19:50:56.311614,1
331,5,207,Fernandes Cavalcante S.A.,"Estação Juliana Marques
Alto Barroca
55109-008 Mendes / ES",87675111,-23.595089667429175,-46.7776128183326,(011) 9255 5473,08:00-22:00,2019-05-07,2025-07-29 19:50:56.311614,1
332,1,414,Fonseca Duarte - ME,"Via Farias, 153
Vila Novo São Lucas
93382-656 Sousa / PE",95477269,-23.488095071822038,-46.50001291368937,+55 (084) 7694-9549,08:00-22:00,2024-09-01,2025-07-29 19:50:56.311614,1
333,5,400,Abreu S/A,"Avenida de Barbosa, 97
Vila Petropolis
15601121 Barbosa de Ferreira / SE",77331218,-23.55792644389923,-46.592638400959785,31 9520 1840,08:00-22:00,2024-06-09,2025-07-29 19:50:56.311614,1
334,8,438,Moura Montenegro e Filhos,"Lago da Cunha, 74
Das Industrias I
94971-158 Farias / MA",76228-687,-23.623012791674107,-46.534058745902925,+55 (021) 3480 0368,08:00-22:00,2020-08-20,2025-07-29 19:50:56.311614,1
335,10,187,Cavalcante Cirino S/A,"Chácara Liz da Paz, 12
Ermelinda
05592-599 Abreu / BA",07348-344,-23.432874923216932,-46.756836175240856,+55 (051) 0442-4335,08:00-22:00,2024-06-09,2025-07-29 19:50:56.311614,1
336,8,360,da Paz S/A,"Largo da Mata, 20
Funcionários
97245-410 Leão das Flores / PI",62721-529,-23.666085645554084,-46.55976958766479,(061) 6670-3492,08:00-22:00,2020-07-31,2025-07-29 19:50:56.311614,1
337,2,477,da Cunha - EI,"Vale Marcos Vinicius Rocha
Padre Eustáquio
97066-244 Lima do Amparo / AP",23641-707,-23.694573687934355,-46.55600287620357,31 4424 5350,08:00-22:00,2015-12-01,2025-07-29 19:50:56.311614,1
338,1,92,Cardoso,"Quadra de Casa Grande, 84
Estrela Do Oriente
82244545 Ramos / GO",39638-730,-23.656826690205587,-46.75455332220282,(021) 8431-3438,08:00-22:00,2016-06-02,2025-07-29 19:50:56.311614,1
339,2,6,Araújo,"Alameda de da Cunha, 836
Califórnia
31678239 Guerra / AM",21601-033,-23.650907023950797,-46.75157874597177,+55 (051) 3473-2659,08:00-22:00,2018-08-03,2025-07-29 19:50:56.311614,1
340,6,133,Santos - EI,"Vereda Benicio Moura
Vila Nossa Senhora Do Rosário
01933-974 da Rocha do Galho / RN",40056253,-23.538587339985728,-46.711364635163456,84 2836-7332,08:00-22:00,2022-10-14,2025-07-29 19:50:56.311614,1
341,5,486,Sousa,"Trevo de Melo, 94
Santa Tereza
52480758 Farias / RN",26712537,-23.512540349808887,-46.734963765709274,0900-556-7011,08:00-22:00,2016-11-20,2025-07-29 19:50:56.311614,1
342,4,473,Lopes,"Feira de Fogaça
Vila Nova Paraíso
91822-513 Rocha de Goiás / MS",93449-450,-23.565416659782358,-46.50737702758302,(031) 2088 6753,08:00-22:00,2017-11-15,2025-07-29 19:50:56.311614,1
343,8,92,Gonçalves,"Esplanada Pimenta, 83
Vila Rica
52453-095 Camargo de Machado / SE",74912366,-23.638748626416305,-46.691116849909065,+55 81 1525-6620,08:00-22:00,2016-02-28,2025-07-29 19:50:56.311614,1
344,5,1,Moura Albuquerque S/A,"Favela da Costa
Barão Homem De Melo 1ª Seção
69973108 Alves da Serra / ES",81344659,-23.660342730361823,-46.571608076469836,(071) 2670 4198,08:00-22:00,2021-08-21,2025-07-29 19:50:56.311614,1
345,4,270,Oliveira,"Loteamento de Guerra, 5
Penha
35775-721 Campos / RS",49207289,-23.552354409262882,-46.558484758955196,+55 (084) 2313-3948,08:00-22:00,2022-01-06,2025-07-29 19:50:56.311614,1
346,8,83,Macedo e Filhos,"Ladeira Luigi da Mata, 143
São Cristóvão
29059500 da Conceição de Teixeira / PA",88420-340,-23.530355073714055,-46.68421773385359,(011) 2884-9162,08:00-22:00,2022-01-13,2025-07-29 19:50:56.311614,1
347,1,287,Pinto - ME,"Setor Thales Montenegro, 94
Santa Sofia
93348301 Moraes / MG",97237-443,-23.608811588488958,-46.5952243337153,+55 84 5952 9420,08:00-22:00,2019-12-29,2025-07-29 19:50:56.311614,1
348,9,179,Moura,"Jardim Santos, 404
Barão Homem De Melo 2ª Seção
43033002 Costa das Flores / AP",75642979,-23.633868015797706,-46.76765995773128,+55 (041) 9834 2510,08:00-22:00,2024-02-21,2025-07-29 19:50:56.311614,1
349,2,377,Viana,"Vale Sousa, 92
Lajedo
15173618 Carvalho / BA",32844453,-23.675822181945772,-46.680911384555415,+55 (061) 5476-4107,08:00-22:00,2019-07-01,2025-07-29 19:50:56.311614,1
350,8,335,Câmara Vargas e Filhos,"Esplanada Eloá Brito, 3
Barro Preto
74566380 Macedo de Freitas / PI",35601046,-23.692126653902328,-46.50980680197153,+55 (071) 3559 9996,08:00-22:00,2018-12-09,2025-07-29 19:50:56.311614,1
351,9,147,Gonçalves,"Setor Isadora Cirino, 751
Calafate
54744598 Martins / PI",76868668,-23.668279070749144,-46.74944080382592,+55 (041) 4695 7482,08:00-22:00,2017-05-12,2025-07-29 19:50:56.311614,1
352,10,102,Duarte Albuquerque e Filhos,"Praça de Pires, 85
Fazendinha
55090581 Macedo / RR",18815-219,-23.477376176314817,-46.68428660858981,+55 (011) 3288 7997,08:00-22:00,2019-01-01,2025-07-29 19:50:56.311614,1
353,8,288,Pires,"Travessa de Gonçalves, 30
Conjunto Paulo Vi
44075-872 da Costa / AM",35077-756,-23.596794404953833,-46.56284354703239,(051) 3847 4991,08:00-22:00,2022-05-20,2025-07-29 19:50:56.311614,1
354,9,313,Fernandes,"Estação Leão
São Jorge 3ª Seção
61521765 Mendonça do Galho / MS",96019-199,-23.691774325379427,-46.60037302352686,(021) 8221 4260,08:00-22:00,2017-01-23,2025-07-29 19:50:56.311614,1
355,4,31,Dias,"Rodovia de Carvalho, 424
Atila De Paiva
28899-004 Casa Grande de Pimenta / CE",74213-132,-23.547550418443695,-46.61054441952768,71 3909-4959,08:00-22:00,2020-08-21,2025-07-29 19:50:56.311614,1
356,2,314,Nascimento Araújo e Filhos,"Esplanada Araújo
Jardim Felicidade
85304065 Brito de Goiás / RN",38422839,-23.539179819933413,-46.54402276219727,+55 71 1920-4708,08:00-22:00,2024-07-17,2025-07-29 19:50:56.311614,1
357,3,485,Camargo e Filhos,"Quadra de Machado, 20
Renascença
29889-099 Barros Verde / PE",23298-783,-23.571393366116283,-46.79127184709289,+55 (051) 4782 6199,08:00-22:00,2019-05-29,2025-07-29 19:50:56.311614,1
358,8,154,Mendes,"Loteamento Lunna Souza, 269
Vila Atila De Paiva
05097282 Sousa / DF",42446-706,-23.66679515638935,-46.5686506895454,11 4258 8706,08:00-22:00,2023-08-25,2025-07-29 19:50:56.311614,1
359,5,48,Casa Grande Castro - EI,"Morro Bryan Camargo, 58
Vila São Rafael
84556-958 Aparecida Paulista / RR",92260-873,-23.47350978071821,-46.535235288235256,0300-127-3543,08:00-22:00,2022-07-19,2025-07-29 19:50:56.311614,1
360,4,379,Gomes,"Conjunto de Moreira, 5
Ipiranga
97532-366 Araújo Paulista / SP",76348050,-23.493275523529014,-46.79514765675114,+55 (031) 8899-7659,08:00-22:00,2021-10-05,2025-07-29 19:50:56.311614,1
361,3,41,Macedo Andrade - EI,"Morro Ana Jesus, 8
Vila Olhos D'água
20996532 Fogaça da Mata / RJ",17953-867,-23.581581258518522,-46.63231111466781,(041) 2255 6735,08:00-22:00,2017-07-17,2025-07-29 19:50:56.311614,1
362,3,153,da Mata da Conceição e Filhos,"Aeroporto Amanda Pereira, 15
Goiania
36367023 Jesus do Galho / MS",05893230,-23.585755392975578,-46.695423454436806,(081) 5849 9144,08:00-22:00,2016-04-24,2025-07-29 19:50:56.311614,1
363,10,431,Pacheco,"Alameda Ana Albuquerque, 23
Andiroba
08923-861 Lopes / CE",85205112,-23.653219465516216,-46.784771187355936,(011) 0765 5866,08:00-22:00,2023-11-04,2025-07-29 19:50:56.311614,1
364,10,182,Peixoto - EI,"Via Oliveira
Baleia
64951047 Vargas do Amparo / CE",42961-599,-23.473935195873675,-46.674675564204556,+55 81 2100-4255,08:00-22:00,2020-05-29,2025-07-29 19:50:56.311614,1
365,7,232,Rezende,"Jardim de da Paz, 794
Aeroporto
78003-477 Camargo de Minas / PI",37891856,-23.52012782869807,-46.606790957648435,(081) 2673 5725,08:00-22:00,2025-06-29,2025-07-29 19:50:56.311614,1
366,8,121,Moura - ME,"Estrada Fogaça, 6
Piratininga
49399-284 Montenegro / ES",76986-069,-23.674261966346116,-46.52429591052318,(031) 1759 7440,08:00-22:00,2018-12-24,2025-07-29 19:50:56.311614,1
367,5,185,Jesus,"Residencial Vieira, 6
Tupi B
57930444 Lopes / MT",65997494,-23.586580962468926,-46.613840854051176,+55 (021) 5305-3513,08:00-22:00,2022-10-02,2025-07-29 19:50:56.311614,1
